district,county,url,has_https,forced_redirect_to_https,https_redirect_to_same_domain
Aveiro,Águeda,www.cm-agueda.pt,True,True,True
Santarém,Alcanena,www.cm-alcanena.pt,True,False,False
Guarda,Aguiar da Beira,www.cm-aguiardabeira.pt,True,True,True
Faro,Albufeira,www.cm-albufeira.pt,True,True,True
Évora,Alandroal,www.cm-alandroal.pt,True,True,True
Beja,Ourique,www.cm-ourique.pt,True,False,False
Leiria,Alcobaça,www.cm-alcobaca.pt,True,True,True
Coimbra,Penacova,www.cm-penacova.pt,True,False,False
Setúbal,Alcácer do Sal,www.cm-alcacerdosal.pt,True,True,True
Santarém,Abrantes,www.cm-abrantes.pt,True,False,False
