district,county,url,error
Guarda,Aguiar da Beira,www.cm-aguiardabeira.pt,'startNew'
Santarém,Alcanena,www.cm-alcanena.pt,"The API request has been throttled: {""errors"":[{""message"":""Too many new assessments too fast. Please slow down.""}]}"
Faro,Albufeira,www.cm-albufeira.pt,'startNew'
Évora,Alandroal,www.cm-alandroal.pt,'startNew'
Santarém,Abrantes,www.cm-abrantes.pt,'startNew'
Beja,Ourique,www.cm-ourique.pt,'startNew'
Setúbal,Alcácer do Sal,www.cm-alcacerdosal.pt,'startNew'
Leiria,Alcobaça,www.cm-alcobaca.pt,'startNew'
Coimbra,Penacova,www.cm-penacova.pt,'startNew'
Aveiro,Águeda,www.cm-agueda.pt,The API response time has exceeded the 480 second limit.
